127.0.0.1 - - [16/Sep/2020:13:45:41 +0200] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [16/Sep/2020:13:46:18 +0200] "POST /pizzashop/pizza HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2020:13:46:18 +0200] "GET /pizzashop/confirmation HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [16/Sep/2020:13:46:18 +0200] "GET /pizzashop/confirmation.css HTTP/1.1" 200 1758
0:0:0:0:0:0:0:1 - - [16/Sep/2020:13:46:18 +0200] "GET /pizzashop/Confirmation.js HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [16/Sep/2020:13:46:18 +0200] "GET /pizzashop/Img/Hawaii.jpg HTTP/1.1" 200 2970806
0:0:0:0:0:0:0:1 - - [16/Sep/2020:13:46:18 +0200] "GET /pizzashop/Img/Margherita.jpg HTTP/1.1" 200 441099
0:0:0:0:0:0:0:1 - - [16/Sep/2020:13:46:18 +0200] "GET /pizzashop/Img/Salami.jpg HTTP/1.1" 200 151830
0:0:0:0:0:0:0:1 - - [16/Sep/2020:13:46:18 +0200] "GET /pizzashop/Img/Background.jpg HTTP/1.1" 200 3911227
0:0:0:0:0:0:0:1 - - [16/Sep/2020:13:46:18 +0200] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Sep/2020:13:46:20 +0200] "GET /pizzashop/pizza? HTTP/1.1" 500 4685
0:0:0:0:0:0:0:1 - - [16/Sep/2020:13:46:25 +0200] "POST /pizzashop/pizza HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2020:13:46:25 +0200] "GET /pizzashop/confirmation HTTP/1.1" 200 2684
0:0:0:0:0:0:0:1 - - [16/Sep/2020:13:47:46 +0200] "GET /pizzashop/pizza? HTTP/1.1" 500 4685
0:0:0:0:0:0:0:1 - - [16/Sep/2020:13:47:54 +0200] "POST /pizzashop/pizza HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2020:13:47:54 +0200] "GET /pizzashop/confirmation HTTP/1.1" 200 1935
0:0:0:0:0:0:0:1 - - [16/Sep/2020:13:53:34 +0200] "GET /pizzashop/pizza? HTTP/1.1" 500 4685
0:0:0:0:0:0:0:1 - - [16/Sep/2020:14:00:05 +0200] "GET /pizzashop/pizza? HTTP/1.1" 500 4685
0:0:0:0:0:0:0:1 - - [16/Sep/2020:14:00:07 +0200] "GET /pizzashop/pizza? HTTP/1.1" 500 4685
